NID	Action	Front (truncated)	Old visible Back count	New visible Back count	Prior 250-rule action	New 300-rule action	Changed by 300-rule?	Clinical risk?	Flag type	Flag reason	AACN relevance	Notes
1778251562709	NO ACTION	Patient with depression says 'I want to end it all.' Priority?	43	43	NO ACTION	NO ACTION	No	No	—	—	Prof Caring & Ethical Practice	—
1778251562711	SAFE REWRITE	Furosemide ICU dosing: IV bolus, continuous infusion, dose equivalent...	521	230	REWRITE	SAFE REWRITE	No	No	—	No source contradiction; specific dosing not confirmed in Juarez/Colson Ridge; MISPLACED Ph7 card; compressed 521→230	Ph7 Pharmacology — Diuretics	Executed; Back updated
1778251562713	SOURCE-UPDATED REWRITE	Furosemide always depletes K⁺ and Mg²⁺ — nurse ALWAYS monitors...	444	281	REWRITE	SOURCE-UPDATED REWRITE	No	Moderate	—	SOURCE UPDATE: "loss of K⁺ in collecting duct" → "↑Na⁺ delivery to distal nephron → K⁺ wasting"; Juarez p.640/655 confirms furosemide acts on ascending limb not collecting duct; MISPLACED Ph7 card	Ph7 Pharmacology — Diuretics	Executed; anatomical correction per Juarez p.640/655
1778251562715	SAFE REWRITE	Hypertonic saline (3% NaCl) for increased ICP...	509	261	REWRITE	SAFE REWRITE	No	YES	NOTE	3% NaCl confirmed (Juarez p.506); 23.4%/30 mL bolus/Na⁺ ≤10 mEq/L limit not verified but not contradicted; all clinical values preserved; MISPLACED Ph7 card; compressed 509→261	Ph7 Pharmacology — Osmotic Agents	Executed; dosing specifics unverified in searched sources
1778436692044	SAFE SPLIT (SUSPENDED)	Septic Shock 1-Hour Bundle [Pos 1/2] — FIRST action before antibiotics...	1766	—	SPLIT	SAFE SPLIT	No	YES	NOTE	Bundle timing confirmed Juarez p.352; specific regimens not source-verified but preserved from original; mortality figure 7-10% preserved (Juarez cites ~12%); 3 daughters NIDs 1779276778099/100/101; original suspended	Sepsis — antibiotic stewardship; high-yield	Executed; card 1778436692045 suspended
1778436692047	SAFE SPLIT (SUSPENDED)	[Synthesis] Septic Shock 1-Hour Bundle all 5 elements...	1633	—	SPLIT	SAFE SPLIT	No	No	—	—	Sepsis — Hour-1 Bundle synthesis; very high-yield	Original suspended; 3 daughter cards created (NIDs 1779274817096/097/098)
1778480387928	FLAG FOR REVIEW	DO2 = CO × ___ × 10. Component contributing LEAST...	1022	1022	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2+) — Back designed for chart annotation; 300-char compression destroys chart function; requires chart-specific review decision	O2 delivery — hemodynamic; CCRN high-relevance	Exempt from standard compression? Awaiting direction
1778480387931	FLAG FOR REVIEW	Critical DO2 threshold ~___. Below this, O2 consumption becomes...	1379	1379	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2+); tagged 'simplify' — evaluate chart-specific compression options	O2 delivery — hemodynamic; CCRN high-relevance	Awaiting direction on chart model approach
1778480387934	FLAG FOR REVIEW	Post-op patient: Hgb 6.8, SaO2 97%, CO 3.2, lactate 3.6...	1364	1364	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2+)	O2 delivery clinical application; CCRN high-relevance	Awaiting direction
1778808560000	FLAG FOR REVIEW	SSC 2021 targets lactate clearance ___ at 2h and ___ at 6h...	440	440	REWRITE	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: lactate_clearance); ≥10%/≥20% targets cited to SSC 2021 — not found in extracted source docs (Juarez uses "remeasure within 2–4h" without threshold); same targets accepted in other deck chart cards	Sepsis lactate resuscitation; Clinical Judgment	Awaiting direction on chart model approach
1778808560003	FLAG FOR REVIEW	Septic shock initial lactate 7.4, at 6h repeat 6.9. Clearance = ?...	693	693	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: lactate_clearance)	Sepsis resuscitation endpoint assessment	Awaiting direction
1778808560006	FLAG FOR REVIEW	Post-arrest patient: MAP 72, ScvO2 78%, adequate UO, lactate 8.1...	803	803	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: lactate_clearance)	Type B lactic acidosis, post-arrest; Clinical Judgment	Awaiting direction
1778808560009	FLAG FOR REVIEW	DO2/VO2 curve: O2 consumption becomes supply-dependent below ~___...	700	700	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2_vo2_curve); PhaseBadge &amp; encoding anomaly — PRESERVE EXACTLY	O2 supply-demand; hemodynamic	PhaseBadge anomaly preserved as-is; awaiting direction
1778808560012	FLAG FOR REVIEW	In sepsis, DO2/VO2 curve shows ___, meaning VO2 continues rising...	856	856	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2_vo2_curve)	Cytopathic hypoxia, sepsis pathophysiology	Awaiting direction
1778808560015	FLAG FOR REVIEW	Septic patient: CI 4.8, Hgb 10, SaO2 98%, ScvO2 84%, lactate 6.2...	967	967	SPLIT	FLAG FOR REVIEW	No	Chart	REVIEW	Chart model (CCRN Chart: do2_vo2_curve)	Cytopathic hypoxia triad; Clinical Judgment	Awaiting direction
1779276778099	DAUGHTER (new)	Septic Shock Bundle: Why must blood cultures be drawn BEFORE antibiotics...	—	285	—	Created	—	No	—	—	Sepsis — blood cultures; antibiotic stewardship	Daughter of NID 1778436692044; cultures before antibiotics
1779276778100	DAUGHTER (new)	Septic Shock Bundle: What is the antibiotic timing target after sepsis recognition...	—	273	—	Created	—	No	—	—	Sepsis — antibiotic timing; Hour-1 Bundle	Daughter of NID 1778436692044; timing + mortality impact (7-10%/h; Juarez cites ~12%)
1779276778101	DAUGHTER (new)	Septic Shock empiric antibiotics — regimen by suspected source...	—	244	—	Created	—	No	—	—	Sepsis — empiric antibiotics; high-yield	Daughter of NID 1778436692044; regimens by source (not source-verified; preserved from original)
1779274817096	DAUGHTER (new)	Septic Shock Hour-1 Bundle — Elements 1–3: First, obtain...	—	273	—	Created	—	No	—	—	Sepsis — Hour-1 Bundle; high-yield	Daughter of NID 1778436692047; elements 1–3
1779274817097	DAUGHTER (new)	Septic Shock Hour-1 Bundle — Elements 4–5: Start vasopressors...	—	272	—	Created	—	No	—	—	Sepsis — Hour-1 Bundle; high-yield	Daughter of NID 1778436692047; elements 4–5
1779274817098	DAUGHTER (new)	Septic shock with lactate ≥4 mmol/L and normal BP is called...	—	273	—	Created	—	No	—	—	Sepsis — cryptic shock; lactate clearance; high-yield	Daughter of NID 1778436692047; cryptic shock + lactate endpoint
